Time [s],Value
1.027726312500000,0b  0000  0000  0000  0101
1.027727312500000,0b  0000  0000  0000  0101
1.027728312500000,0b  0000  0000  0000  0101
1.027729312500000,0b  0000  0000  0000  0111
1.027730312500000,0b  0000  0000  0000  0101
1.027731312500000,0b  0000  0000  0000  0101
1.027732312500000,0b  0000  0000  0000  0101
1.027733312500000,0b  0000  0000  0000  0101
1.027734312500000,0b  0000  0000  0000  0101
1.027735312500000,0b  0000  0000  0000  0101
1.027736312500000,0b  0000  0000  0000  0101
1.027737312500000,0b  0000  0000  0000  0101
1.027738312500000,0b  0000  0000  0000  0101
1.027739312500000,0b  0000  0000  0000  0101
1.027740312500000,0b  0000  0000  0000  0101
1.027741312500000,0b  0000  0000  0000  0101
1.027742312500000,0b  0000  0000  0000  0101
1.027743312500000,0b  0000  0000  0000  0101
1.027744312500000,0b  0000  0000  0000  0111
1.027745312500000,0b  0000  0000  0000  0101
1.027746312500000,0b  0000  0000  0000  0101
1.027747312500000,0b  0000  0000  0000  0101
1.027748312500000,0b  0000  0000  0000  0101
1.027749312500000,0b  0000  0000  0000  0101
1.027750312500000,0b  0000  0000  0000  0111
1.027751312500000,0b  0000  0000  0000  0101
1.027752312500000,0b  0000  0000  0000  0101
1.027753312500000,0b  0000  0000  0000  0101
1.027754312500000,0b  0000  0000  0000  0101
1.027755312500000,0b  0000  0000  0000  0101
1.027756312500000,0b  0000  0000  0000  0101
1.027757312500000,0b  0000  0000  0000  0101
1.027758312500000,0b  0000  0000  0000  0101
1.027759312500000,0b  0000  0000  0000  0101
1.027760312500000,0b  0000  0000  0000  0101
1.027761312500000,0b  0000  0000  0000  0101
1.027762312500000,0b  0000  0000  0000  0101
1.027763312500000,0b  0000  0000  0000  0101
1.027764312500000,0b  0000  0000  0000  0101
1.027765312500000,0b  0000  0000  0000  0101
1.027766312500000,0b  0000  0000  0000  0101
1.027767312500000,0b  0000  0000  0000  0101
1.027768312500000,0b  0000  0000  0000  0101
1.027769312500000,0b  0000  0000  0000  0101
1.027770312500000,0b  0000  0000  0000  0101
1.027771312500000,0b  0000  0000  0000  0101
1.027772312500000,0b  0000  0000  0000  0101
1.027773312500000,0b  0000  0000  0000  0101
1.027774312500000,0b  0000  0000  0000  0101
1.027775312500000,0b  0000  0000  0000  0101
1.027776312500000,0b  0000  0000  0000  0101
1.027777312500000,0b  0000  0000  0000  0111
1.027778312500000,0b  0000  0000  0000  0101
1.027779312500000,0b  0000  0000  0000  0101
